,f0,f1,f2,f3,f4,f5,f6
f0,1.0,0.020099029845561174,-0.009768792706330846,-0.02277093935005186,0.0,-0.08363034139544472,0.001407912870242127
f1,0.020099029845561174,1.0,0.7524976603662269,0.26504065830335766,0.0,0.1899858231630344,-0.031222642186775364
f2,-0.009768792706330846,0.7524976603662269,1.0,0.2839270142423363,0.0,0.18265054653094034,-0.01940653594230869
f3,-0.02277093935005186,0.26504065830335766,0.2839270142423363,1.0,0.0,0.12393128136439197,-0.010623276105478542
f4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
f5,-0.08363034139544472,0.18998582316303417,0.18265054653094026,0.12393128136439199,0.0,1.0,0.8306707884118963
f6,0.0014079128702421289,-0.031222642186775357,-0.019406535942308702,-0.01062327610547853,0.0,0.8306707884118963,1.0
