rank,idx,feature,weight
1,5,f5,0.21146899332079125
2,0,f0,0.2038326392889299
3,6,f6,0.15852356733335426
4,1,f1,0.14619036897176688
5,3,f3,0.14005928124165584
6,2,f2,0.13992514984350182
7,4,f4,0.0
