rank,idx,feature,weight
1,5,f5,0.21690744330638356
2,0,f0,0.1853735953747425
3,3,f3,0.16577482569010357
4,6,f6,0.1523183276455643
5,1,f1,0.14455348045133842
6,2,f2,0.1350723275318676
7,4,f4,0.0
