,rewards_per_run_Attention,episode_lenghts_Attention
0,-18.6142765134573,15
1,-3.8011945635080338,15
2,-3.7584933191537857,15
3,-3.7482003271579742,15
4,-3.7443496584892273,15
5,-3.7425703555345535,15
6,-3.988471657037735,16
7,-3.7031158208847046,15
8,-3.707362487912178,15
9,-3.7107499837875366,15
