,rewards,episode_lenghts
0,-16.40119818,8
1,-3.701014251,8
2,-3.655383825,8
3,-3.643958151,8
4,-3.639500797,8
5,-3.637342483,8
6,-3.636152297,8
7,-3.635436118,8
8,-3.63497749,8
9,-3.634669542,8
